timestamp,label,cores,mem_gb,model,run_idx,prompt_tokens,completion_tokens,max_tokens,prefill_tok_s,decode_tok_s,wall_ms,gpu_vendor,gpu_architecture,gpu_device,user_agent,prompt
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,1,40,127,128,34.3761,8.0646,16958.100,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,2,40,127,128,34.3554,8.0482,16988.500,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,3,40,127,128,34.3584,7.9144,17253.300,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,4,40,127,128,34.3702,8.0728,16937.700,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,5,40,127,128,34.3731,7.837,17415.800,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,6,40,127,128,34.3495,7.7732,17550.300,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,7,40,127,128,34.3083,7.8648,17356.300,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,8,40,127,128,34.3909,7.9835,17114.700,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,9,40,127,128,34.32,7.9654,17151.700,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:21:18.879Z,thinkpad-laptop,8,16,Llama-3.2-1B-Instruct-q4f16_1-MLC,10,40,127,128,34.3407,7.9625,17156.500,intel,gen-9,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
