timestamp,label,model,run_idx,prompt_tokens,completion_tokens,max_tokens,prefill_tok_s,decode_tok_s,wall_ms,gpu_vendor,gpu_architecture,gpu_device,user_agent,prompt
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,1,40,127,128,253.1646,21.2371,6155.500,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,2,40,127,128,253.3249,19.4074,6719.500,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,3,40,127,128,258.565,19.6467,6637.200,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,4,40,127,128,255.4278,20.895,6250.200,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,5,40,127,128,262.1232,21.2371,6149.600,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,6,40,127,128,258.2311,20.4733,6374.800,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,7,40,127,128,276.434,20.1105,6477.400,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,8,40,127,128,250.1563,20.734,6301.000,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,9,40,127,128,254.7771,19.6826,6626.300,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T16:17:24.774Z,laptop-sys76,Llama-3.2-1B-Instruct-q4f16_1-MLC,10,40,127,128,250,20.3021,6430.900,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
